id	speaker_id	wav_path	utterance
1	sg_ci_3-20141108-gtb	es-0022.wav	DEJABA VER EL SALóN INMEDIATO BLANCO TAMBIéN PERO CON ADORNOS DE ORO
2	sg_ci_3-20141108-gtb	es-0023.wav	LOS ASIENTOS TAPIZADOS DE SEDA ROSA IGUAL A LA QUE ADORNABA LOS PLANOS DE LAS PAREDES
3	sg_ci_3-20141108-gtb	es-0024.wav	ESTABAN OCUPADOS POR SEñORAS
4	sg_ci_3-20141108-gtb	es-0025.wav	EL AMBIENTE ERA MáS LIMPIO QUE EN EL JARDíN DE INVIERNO DONDE UNA ATMóSFERA DE HUMO DE HABANO Y TABACO ORIENTAL CON PERFUME DE OPIO
5	sg_ci_3-20141108-gtb	es-0026.wav	FLOTABA SOBRE LAS PLANTAS MáS ALLá DE ESTOS CORROS FEMENINOS EN TORNO DE LAS MESAS DE Té
6	sg_ci_3-20141108-gtb	es-0027.wav	MEDIA DOCENA DE MúSICOS UNIFORMADOS LO MISMO QUE LOS CAMAREROS AGRUPáBANSE SOBRE UNA TARIMA ALREDEDOR DE UN PIANO DE COLA
7	sg_ci_3-20141108-gtb	es-0028.wav	SUS CABEZAS RUBIAS DE GERMANOS Y LOS ARCOS DE SUS VIOLINES DESTACáBANSE SOBRE LOS RECTáNGULOS LUMINOSOS DE CUATRO VENTANAS
8	sg_ci_3-20141108-gtb	es-0029.wav	QUE CERRABAN LA PERSPECTIVA AL OTRO LADO DE LOS CRISTALES LIGERAMENTE TURBIOS POR LA HUMEDAD EXTERIOR
9	sg_ci_3-20141108-gtb	es-0030.wav	MOVíASE PASANDO DE UNA A OTRA VENTANACON LENTO BALANCEO UNA ESPECIE DE COLUMNA ESBELTA
10	sg_ci_3-20141108-gtb	es-0031.wav	AMARILLA DE INVISIBLE TéRMINO ACOMPAñáNDOLA FIELES EN ESTE CAMBIO DE SITUACIóN REGULAR Y ACOMPASADO COMO EL DE UN PéNDULO
11	vic20-20100821-quz	es-0029.wav	QUE CERRABAN LA PERSPECTIVA AL OTRO LADO DE LOS CRISTALES LIGERAMENTE TURBIOS POR LA HUMEDAD EXTERIOR
12	vic20-20100821-quz	es-0030.wav	MOVíASE PASANDO DE UNA A OTRA VENTANACON LENTO BALANCEO UNA ESPECIE DE COLUMNA ESBELTA
13	vic20-20100821-quz	es-0031.wav	AMARILLA DE INVISIBLE TéRMINO ACOMPAñáNDOLA FIELES EN ESTE CAMBIO DE SITUACIóN REGULAR Y ACOMPASADO COMO EL DE UN PéNDULO
14	vic20-20100821-quz	es-0032.wav	UNAS LíNEAS NEGRAS Y OBLICUAS SEMEJANTES A CUERDAS
15	vic20-20100821-quz	es-0033.wav	TODO ESTABA LO MISMO QUE UNA HORA ANTES CUANDO EL Té HUMEABA EN LA TAZA DE OJEDA AHORA VACíA Y BLANQUEABAN SOBRE LA MESA LOS PLIEGOS
16	vic20-20100821-quz	es-0034.wav	CUBIERTOS AL PRESENTE DE COMPACTAS LíNEAS LAS PERSONAS CERCANAS A éL FUMABAN SILENCIOSAS O SEGUíAN SUS CONVERSACIONES CON LENTITUD SOñOLIENTA
17	vic20-20100821-quz	es-0035.wav	DEL FONDO DEL SEGUNDO SALóN LLEGABAN CONFUNDIDOS CON RISAS DE MUJERES Y CHOQUE DE BANDEJAS
18	vic20-20100821-quz	es-0036.wav	LOS TECLEOS DEL PIANO Y LOS GEMIDOS DE LOS VIOLINES DEL TECHO COLOREADO A LA VEZ POR EL REFLEJO AZUL DE LA TARDE
19	vic20-20100821-quz	es-0037.wav	Y EL FRíO RESPLANDOR DE LAS AMPOLLAS ELéCTRICAS DESCENDíAN GORJEOS DE PáJAROS
20	vic20-20100821-quz	es-0038.wav	COMO UNA EVOCACIóN CAMPESTRE QUE PARECíA ANIMAR LA ARTIFICIAL RIGIDEZ DEL JARDíN CONTRAHECHO
21	JavierAlba-20100602-wmn	es-0009.wav	INFLAMADAS EN PLENA TARDE PARA REPOSARSE EN LOS RECTáNGULOS DE LAS VENTANAS QUE ENCUADRABAN EL AZUL GRISáCEO DE UN DíA DE INVIERNO
22	JavierAlba-20100602-wmn	es-0010.wav	LA BLANCURA DE LA MADERA LAQUEADA TEMBLABA CON CIERTO REFLEJO HúMEDO QUE PARECíA VENIR DEL EXTERIOR
23	JavierAlba-20100602-wmn	es-0011.wav	DOS SALONES AGRANDADOS POR LA ESCASEZ DE SU ALTURA ERAN EL CAMPO VISUAL DE OJEDA
24	JavierAlba-20100602-wmn	es-0012.wav	EN EL PRIMERO DONDE ESTABA éL MEZCLáBASE A LA BLANCURA UNIFORME DE LA DECORACIóN EL VERDE CHAROLADO
